用户id,订单量,商品种类数,商品数量,用户长度,复购次数
1,6,2,7,109,4
10,15,4,26,356,11
100,6,6,7,174,0
1000,6,5,7,36,1
10000,10,6,19,342,4
10001,1,1,1,25,
10002,2,2,2,53,0
10003,1,1,1,46,
10004,4,4,4,351,0
10005,1,1,1,35,
10006,20,7,34,289,13
10007,1,1,1,9,
10008,2,2,2,14,0
10009,5,5,9,44,0
1001,35,24,43,363,11
10010,1,1,1,15,
10011,14,10,25,303,4
10012,3,3,4,54,0
10013,9,5,17,354,4
10014,15,9,16,315,6
10015,8,2,13,305,6
10016,7,4,7,293,3
10017,8,3,11,186,5
10018,8,6,8,78,2
10019,2,2,4,69,0
1002,1,1,1,44,
10020,1,1,1,4,
10021,1,1,2,20,
10022,1,1,2,52,
10023,6,6,10,188,0
10024,5,4,5,222,1
10025,9,4,15,182,5
10026,1,1,1,43,
10027,1,1,1,16,
10028,2,1,2,29,1
10029,1,1,1,12,
1003,6,5,12,334,1
10030,9,4,19,256,5
10031,4,1,8,103,3
10032,34,22,67,199,12
10033,1,1,1,11,
10034,1,1,1,20,
10035,2,2,2,125,0
10036,2,1,2,16,1
10037,6,5,6,4,1
10038,3,2,3,132,1
10039,17,15,18,317,2
1004,1,1,2,88,
10040,4,3,4,117,1
10041,4,3,13,62,1
10042,1,1,1,22,
10043,10,6,10,315,4
10044,9,7,19,122,2
10045,1,1,1,40,
10046,10,5,11,365,5
10047,1,1,1,48,
10048,1,1,1,80,
10049,4,4,4,181,0
1005,14,6,23,174,8
10050,6,4,6,48,2
10051,2,2,2,17,0
10052,6,6,13,57,0
10053,14,10,22,331,4
10054,12,4,14,233,8
10055,7,3,7,53,4
10056,10,8,28,162,2
10057,2,1,8,85,1
10058,2,2,3,2,0
10059,3,2,6,171,1
1006,1,1,1,22,
10060,36,33,63,360,3
10061,11,8,12,315,3
10062,8,5,11,26,3
10063,31,13,51,339,18
10064,1,1,12,70,
10065,18,13,26,197,5
10066,11,7,18,346,4
10067,1,1,1,22,
10068,8,7,10,268,1
10069,2,2,3,87,0
1007,2,2,2,62,0
10070,6,3,6,134,3
10071,13,6,13,359,7
10072,1,1,1,51,
10073,2,2,2,87,0
10074,5,2,6,194,3
10075,4,4,5,173,0
10076,9,6,13,240,3
10077,12,4,12,317,8
10078,6,6,13,62,0
10079,9,5,11,318,4
1008,8,5,8,346,3
10080,1,1,1,36,
10081,13,8,15,176,5
10082,1,1,1,27,
10083,2,1,2,140,1
10084,1,1,1,33,
10085,9,3,10,364,6
10086,5,1,5,182,4
10087,4,3,5,253,1
10088,6,6,6,80,0
10089,1,1,1,32,
1009,13,4,19,254,9
10090,11,6,12,339,5
10091,7,3,8,357,4
10092,1,1,1,23,
10093,7,4,7,222,3
10094,4,3,4,319,1
10095,3,2,7,185,1
10096,3,2,4,147,1
10097,7,3,7,208,4
10098,58,14,188,194,44
10099,2,2,3,159,0
101,4,3,8,205,1
1010,1,1,1,44,
10100,1,1,2,77,
10101,2,2,3,102,0
10102,1,1,1,43,
10103,4,3,5,77,1
10104,2,2,3,141,0
10105,7,6,7,221,1
10106,17,7,21,332,10
10107,3,2,5,171,1
10108,1,1,1,3,
10109,7,4,11,316,3
1011,4,4,4,57,0
10110,13,7,17,350,6
10111,9,7,11,178,2
10112,2,2,3,57,0
10113,2,2,3,7,0
10114,35,22,44,340,13
10115,1,1,1,81,
10116,2,2,2,60,0
10117,4,4,7,48,0
10118,1,1,1,18,
10119,19,8,23,355,11
1012,2,2,2,84,0
10120,16,13,16,266,3
10121,17,17,29,347,0
10122,6,2,6,329,4
10123,52,28,95,240,24
10124,13,9,16,219,4
10125,6,5,7,82,1
10126,5,5,9,81,0
10127,2,2,6,139,0
10128,10,7,10,229,3
10129,2,1,2,66,1
1013,10,6,15,346,4
10130,18,12,29,306,6
10131,4,4,11,122,0
10132,24,5,48,349,19
10133,5,2,7,101,3
10134,7,7,9,171,0
10135,30,23,46,332,7
10136,9,5,16,317,4
10137,1,1,1,10,
10138,3,2,3,115,1
10139,9,7,9,328,2
1014,4,2,4,152,2
10140,25,16,30,267,9
10141,3,3,3,93,0
10142,4,3,4,152,1
10143,7,6,8,107,1
10144,3,3,4,57,0
10145,15,13,15,337,2
10146,10,5,13,315,5
10147,12,11,20,171,1
10148,3,2,4,26,1
10149,25,18,28,342,7
1015,20,10,23,163,10
10150,10,6,14,316,4
10151,7,4,10,265,3
10152,24,16,24,326,8
10153,2,2,2,70,0
10154,2,2,2,16,0
10155,3,2,6,167,1
10156,2,2,2,144,0
10157,38,8,62,355,30
10158,2,2,2,55,0
10159,8,8,10,142,0
1016,1,1,1,69,
10160,6,4,6,129,2
10161,6,1,6,174,5
10162,1,1,1,12,
10163,16,11,22,336,5
10164,4,4,4,107,0
10165,2,2,2,180,0
10166,14,7,18,317,7
10167,3,2,5,224,1
10168,3,2,3,113,1
10169,29,13,56,352,16
1017,1,1,1,82,
10170,13,10,14,205,3
10171,4,4,5,126,0
10172,31,17,36,348,14
10173,15,11,16,185,4
