买家会员名,收货地址,买家实际支付金额,宝贝种类,宝贝总数量,购买数量,儿童/小学生_购买数量,幼儿_购买数量,幼儿/儿童_购买数量,幼儿/儿童/小学生_购买数量,新生儿_购买数量,新生儿/幼儿_购买数量,新生儿/幼儿/儿童_购买数量,新生儿/幼儿/儿童/小学生_购买数量,购买次数
0,福建省,14.9,1,1,0,0,0,1,0,0,0,0,0,1
1,北京,37.56,4,8,0,0,0,1,7,0,0,0,0,1
10,江苏省,20.9,1,1,0,0,0,0,1,0,0,0,0,1
100,上海,35.28,8,9,0,0,0,5,4,0,0,0,0,1
1000,福建省,18.29,3,3,0,1,0,1,1,0,0,0,0,1
1001,辽宁省,26.77,8,8,0,0,0,0,6,0,0,1,0,1
1002,福建省,16.7,3,3,0,0,0,3,0,0,0,0,0,1
1003,陕西省,59.86,2,7,0,0,0,0,7,0,0,0,0,1
1004,福建省,41.25,8,8,0,0,0,2,4,0,1,1,0,1
1005,辽宁省,60.22,1,36,0,0,0,0,36,0,0,0,0,1
1006,北京,24.78,4,5,0,0,1,3,1,0,0,0,0,1
1007,广东省,83.66,13,13,0,0,1,2,9,0,1,0,0,1
1008,浙江省,155.43,1,57,0,0,0,0,57,0,0,0,0,1
1009,福建省,121.49,19,68,0,0,0,42,15,0,0,3,0,1
101,江苏省,29.66,5,7,0,0,0,1,4,0,0,0,0,1
1010,北京,120.3,1,70,0,0,0,0,70,0,0,0,0,1
1011,山东省,31.18,6,6,0,0,0,0,5,0,0,0,0,1
1012,四川省,29.12,9,9,0,0,0,8,1,0,0,0,0,1
1013,天津,58.43,11,11,0,1,1,2,7,0,0,0,0,1
1014,四川省,22.6,3,4,0,0,0,4,0,0,0,0,0,1
1015,广东省,88.25,4,39,0,0,0,39,0,0,0,0,0,1
1016,江苏省,84.7,1,3,0,0,0,0,0,0,0,0,0,1
1017,江苏省,26,2,8,0,0,0,0,8,0,0,0,0,2
1018,广东省,113.05,17,28,0,0,0,4,18,0,5,0,0,1
1019,辽宁省,72,1,20,0,0,0,0,20,0,0,0,0,1
102,河北省,26.98,3,3,0,0,0,2,0,0,0,0,1,1
1020,浙江省,59.78,15,25,10,0,0,11,3,0,0,0,0,1
1021,江西省,56.58,21,21,0,0,1,3,4,0,0,1,0,1
1022,广东省,229.93,14,92,0,0,0,64,13,0,0,0,0,2
1023,湖北省,55.78,17,19,3,0,0,3,10,0,1,1,0,1
1024,天津,53.99,9,11,0,0,0,5,6,0,0,0,0,1
1025,广东省,56.5,5,5,0,0,0,1,4,0,0,0,0,1
1026,辽宁省,99.52,8,88,0,3,0,0,85,0,0,0,0,1
1027,河北省,238.23,26,79,0,5,0,16,46,0,3,3,0,2
1028,广东省,38.97,15,15,0,0,4,8,3,0,0,0,0,1
1029,安徽省,19.66,4,5,0,0,0,5,0,0,0,0,0,1
103,辽宁省,20.9,1,1,0,0,0,0,1,0,0,0,0,1
1030,江苏省,14.9,1,1,0,0,0,0,1,0,0,0,0,1
1031,黑龙江省,12.9,1,1,0,0,0,1,0,0,0,0,0,1
1032,福建省,57.48,5,23,10,1,0,1,10,0,1,0,0,1
1033,湖北省,190.5,2,150,0,0,0,150,0,0,0,0,0,2
1034,四川省,11.9,1,1,0,0,0,0,1,0,0,0,0,1
1035,重庆,127.6,6,42,0,0,5,6,10,0,0,0,0,1
1036,天津,112.48,8,13,0,0,0,7,6,0,0,0,0,1
1037,江苏省,62.6,2,14,0,0,0,0,14,0,0,0,0,1
1038,江苏省,34.5,1,5,0,0,0,0,5,0,0,0,0,1
1039,河北省,81.61,10,12,0,0,0,11,1,0,0,0,0,1
104,湖北省,194.61,21,79,14,3,0,12,50,0,0,0,0,3
1040,湖北省,349,6,200,0,0,30,170,0,0,0,0,0,1
1041,广西壮族自治区,26.09,4,4,0,0,0,0,4,0,0,0,0,1
1042,江苏省,115,1,200,0,0,0,0,200,0,0,0,0,1
1043,陕西省,577.05,14,265,0,40,0,35,160,0,0,0,0,1
1044,广东省,38.14,2,2,0,1,0,1,0,0,0,0,0,1
1045,湖北省,155,10,77,30,5,0,14,18,0,10,0,0,1
1046,天津,34.9,1,1,0,0,0,0,0,0,0,0,0,1
1047,河北省,29.5,1,5,0,0,0,0,5,0,0,0,0,1
1048,广东省,17.56,5,5,0,0,1,1,1,0,1,0,0,1
1049,陕西省,101.39,4,16,0,0,0,0,16,0,0,0,0,1
105,广东省,12.9,1,1,0,0,0,1,0,0,0,0,0,1
1050,广东省,17.62,5,8,0,0,0,1,7,0,0,0,0,1
1051,湖南省,108.33,9,43,0,3,0,0,19,0,0,0,0,1
1052,北京,349.46,16,149,0,0,0,0,149,0,0,0,0,1
1053,吉林省,56.1,3,45,0,0,0,5,40,0,0,0,0,1
1054,广东省,292.2,2,180,0,0,0,0,180,0,0,0,0,1
1055,湖北省,12.8,1,2,0,0,0,0,2,0,0,0,0,1
1056,四川省,338.2,7,111,0,0,0,5,85,0,0,0,0,2
1057,福建省,58.99,8,17,0,0,0,1,7,0,0,0,0,1
1058,江苏省,174.8,7,28,0,0,0,7,21,0,0,0,0,1
1059,辽宁省,208.63,35,73,0,8,2,30,15,0,6,0,0,3
106,福建省,104.96,5,22,6,0,0,4,12,0,0,0,0,1
1060,重庆,22.88,1,12,0,0,0,0,12,0,0,0,0,1
1061,湖南省,75.75,4,26,0,0,0,5,21,0,0,0,0,1
1062,黑龙江省,55.22,14,15,0,1,1,7,5,0,0,0,0,1
1063,福建省,350,2,62,0,0,0,0,62,0,0,0,0,1
1064,北京,96.15,2,40,0,0,0,0,40,0,0,0,0,2
1065,云南省,56.04,19,21,3,0,0,7,6,0,2,1,0,1
1066,重庆,84.04,15,39,10,0,0,24,5,0,0,0,0,1
1067,山西省,354,2,60,0,0,0,0,60,0,0,0,0,1
1068,湖南省,57.38,21,23,0,0,0,18,4,0,0,0,0,1
1069,河南省,16.83,5,5,0,0,0,0,3,0,2,0,0,1
107,安徽省,69.04,6,6,0,1,0,4,1,0,0,0,0,1
1070,福建省,17.43,3,7,0,0,0,0,7,0,0,0,0,1
1071,湖北省,30.26,6,7,0,2,0,0,4,0,0,0,0,1
1072,河北省,46.69,4,4,0,0,0,1,1,0,0,1,0,1
1073,广东省,39.21,3,11,0,0,0,5,6,0,0,0,0,1
1074,山西省,100,7,80,0,0,0,0,80,0,0,0,0,1
1075,河北省,121.92,5,51,0,0,0,10,41,0,0,0,0,1
1076,四川省,59,1,100,0,0,0,0,0,0,0,0,0,1
1077,天津,89.32,22,23,0,0,2,4,14,0,2,0,0,2
1078,广东省,61.46,4,14,0,0,0,0,14,0,0,0,0,1
1079,辽宁省,61.35,2,18,0,0,0,0,18,0,0,0,0,2
108,广东省,16.8,1,2,0,0,0,0,2,0,0,0,0,1
1080,重庆,23.66,6,6,0,0,0,3,2,1,0,0,0,1
1081,福建省,205.89,17,111,0,0,0,12,90,0,3,0,0,2
1082,江苏省,185.48,3,100,0,0,0,100,0,0,0,0,0,3
1083,广东省,14.79,2,2,0,0,0,1,1,0,0,0,0,1
1084,湖南省,85.48,15,22,7,0,1,5,8,0,1,0,0,1
1085,浙江省,54.41,11,23,0,1,1,11,6,0,0,0,0,1
1086,湖南省,76.95,5,5,0,0,0,1,3,0,0,0,0,1
1087,辽宁省,98.61,10,59,0,0,0,8,51,0,0,0,0,1
1088,贵州省,8.79,1,1,0,0,0,0,1,0,0,0,0,1
1089,贵州省,62.89,13,28,0,2,0,16,8,0,0,2,0,1
109,广东省,63.64,7,23,0,0,0,2,14,0,0,0,0,1
1090,山西省,28.23,5,7,0,0,2,1,3,0,0,1,0,1
1091,浙江省,53.12,7,12,0,0,0,1,9,0,0,0,0,1
1092,山东省,57.42,9,10,0,0,1,7,2,0,0,0,0,1
1093,浙江省,23.98,5,5,0,0,0,3,2,0,0,0,0,1
1094,山西省,93.9,28,71,30,3,0,12,17,0,0,1,0,1
1095,广东省,34.4,4,6,0,0,0,3,3,0,0,0,0,1
1096,江苏省,66.4,2,16,0,6,0,0,10,0,0,0,0,1
1097,安徽省,54.73,13,19,1,1,0,5,8,0,0,0,0,1
1098,广东省,11.9,1,1,0,0,0,0,1,0,0,0,0,1
1099,广东省,7.9,1,1,0,0,0,0,1,0,0,0,0,1
11,湖北省,36.57,12,13,2,1,5,0,2,0,0,0,0,1
110,浙江省,57.59,8,12,0,0,0,5,7,0,0,0,0,1
1100,山西省,70.78,11,29,0,0,0,7,18,0,4,0,0,1
1101,黑龙江省,60,5,12,0,1,0,3,8,0,0,0,0,1
1102,安徽省,58,15,26,0,0,0,0,24,0,0,0,0,1
1103,山东省,56.04,1,16,0,0,0,16,0,0,0,0,0,1
1104,山东省,38.8,1,20,0,0,20,0,0,0,0,0,0,1
1105,陕西省,103.9,6,41,0,0,0,1,40,0,0,0,0,1
1106,福建省,8.92,1,1,0,0,0,0,1,0,0,0,0,1
1107,山西省,149.45,16,53,10,0,0,19,8,10,0,0,6,2
1108,福建省,55.99,10,14,0,1,2,0,10,0,0,0,0,1
1109,湖北省,39.93,1,7,0,7,0,0,0,0,0,0,0,1
