用户id,差评,好评,中评
3,,1,
7,,2,1
8,,1,
9,,3,
11,,11,
14,,1,
15,,1,
19,,2,
22,,1,
23,,12,
25,,9,
40,,10,
41,,3,
43,,4,
45,,2,
46,,4,2
48,,3,
50,1,10,
51,,4,
56,,,1
59,,3,
60,,1,
61,,5,
62,,1,2
63,,2,
64,,1,
65,,11,
66,,6,
67,,6,
68,,5,
69,,13,
71,,2,
73,,3,
74,,2,
75,,1,
80,,2,
81,,36,
83,,2,
85,,3,
86,,1,
87,,2,
89,,1,
92,,3,
93,,8,2
95,,27,
96,,5,
97,,2,
100,,3,
101,,2,
103,,1,
105,,5,
108,,2,
111,,9,
113,,5,
114,,2,
115,,1,
119,,1,
120,,2,
122,,9,
124,,4,
129,,8,
130,,7,
133,,1,
134,,1,
135,,40,
137,,8,
141,,2,
142,,2,
147,,2,
153,1,4,
155,,2,
156,,3,
160,,1,
162,,1,
166,,2,
171,,3,
179,,5,
181,,1,
183,,12,
184,,4,
186,,1,
187,,1,
188,,1,
194,,5,
199,,14,
200,,2,
201,,13,
203,,23,
205,,13,
206,,4,3
207,,1,
208,,11,
209,,1,
210,,2,
215,,21,
218,,30,
220,,4,
221,,1,
223,,11,
228,,3,
230,,7,
231,,2,
234,,3,
235,,23,
236,1,8,
242,,3,2
243,,39,
244,,1,
245,,1,
246,,4,
247,,1,
248,,2,
249,,16,
250,,16,
254,,8,
255,,3,
269,,4,
270,,4,
271,,20,
274,,6,
279,,5,
282,1,1,
283,,3,
287,,9,
289,,3,
290,,10,1
296,,4,
299,,7,
300,,8,
301,,18,
307,1,1,2
308,,1,
311,,2,
312,,5,1
314,,3,
323,,1,
324,,4,
326,,7,1
330,,1,
335,,6,
337,,2,1
338,,2,
341,,1,
344,,,1
349,,4,
350,,10,
351,1,6,
358,,5,
359,,2,
360,2,2,
365,,2,
366,,6,
369,,4,
370,,5,1
372,,33,
373,,8,
376,,6,
378,,6,
385,,5,
389,,3,
390,,10,
392,,10,
402,,14,
405,,6,
410,,16,
411,,2,
412,,1,
414,,1,
415,,1,
428,,24,1
431,,4,
432,,1,
435,,2,
437,,1,
441,,3,
443,,1,
444,,2,
446,,1,
449,,1,
452,,4,
454,,2,
455,,5,
456,,2,
457,,4,
458,,1,
462,,4,
464,,17,
467,1,5,1
468,,3,
474,,18,
478,,1,
480,,21,
482,,1,
485,,2,
486,,6,
488,,2,
489,,1,
493,,9,
496,,4,
498,,2,
500,,1,
501,,2,
502,,4,
505,,7,
508,,1,
511,,12,
514,1,,
515,,7,
516,,4,
519,,2,
523,,1,
525,,3,
526,,10,
530,,5,
531,,5,
533,,8,
538,,2,
542,,7,
543,1,12,1
545,,24,
548,,,1
549,,8,
552,,5,
554,,2,
555,,1,
556,,5,
559,,2,
560,,7,
564,,1,
566,,7,
567,,11,
568,,3,
569,,1,
572,,3,
573,,6,
574,,15,
576,,10,
579,,4,
580,,1,
581,,15,
584,,4,
585,,20,
588,,1,
593,,5,
595,,4,
596,,1,
597,,9,
598,,2,
599,,2,
601,,5,
607,,4,
608,,5,
610,,2,
612,,15,
613,,2,
616,,6,
617,,1,
619,,12,
620,,2,
621,,10,
623,,1,
624,,8,
626,1,8,
628,,3,
631,3,9,1
633,1,1,
640,,23,
641,,4,
643,,4,
