买家会员名,宝贝ID,购买次数
0,42577833473,1
1,536728628605,1
1,545516801138,1
1,547644315780,1
1,550735773284,1
2,537318544352,1
2,545516801138,1
3,545516801138,1
3,549744152016,1
4,35722333869,1
4,36414345451,1
4,37276995387,1
4,529337915679,1
4,544768785584,1
4,545516801138,1
5,530449665002,1
7,36267739775,1
7,39386028930,1
7,43104145123,1
7,521019257989,1
7,531145857565,1
7,536083448292,1
7,540658025950,1
7,547327221986,1
8,36414345451,1
8,45404080098,1
8,528109847799,1
9,35721027449,1
9,35722000205,1
9,36286235128,1
9,539522491801,1
9,544115759872,1
9,545516801138,1
9,548998614714,1
10,536125595091,1
11,36266985550,1
11,531877266868,5
11,545959606207,1
11,548998614714,1
11,549378588703,1
12,36266985550,1
12,36267739775,1
12,45123664231,1
12,521019257989,1
12,521906910410,1
12,531846025844,1
12,531877266868,1
12,540349069906,1
12,545516801138,1
12,551091439907,1
13,543661881179,1
14,35722000205,2
15,531379484499,1
16,540349069906,1
16,545516801138,1
16,545538490326,1
16,546275765548,1
17,530812936284,1
17,549882564050,4
18,521019257989,1
18,543674126623,1
18,545538490326,1
19,538658965256,1
20,36266985550,1
20,545516801138,1
20,545602185334,1
20,547794157516,1
21,540882092170,1
22,36286235128,1
23,521826021046,1
24,44928090920,1
25,550905064205,1
25,550977477078,1
26,35722000205,1
26,541659214822,1
27,541659214822,1
28,36414345451,1
28,530812936284,1
28,535612234886,1
28,535703074519,1
28,544016559367,8
28,545516801138,3
28,545566976422,1
29,521019257989,1
29,539522491801,1
29,543616473590,1
29,548998614714,1
30,44928090920,1
31,39539028043,4
31,544099790786,1
31,544115359956,3
31,550977477078,1
32,44928090920,1
32,546243180299,1
32,549378588703,1
32,549710009588,1
33,527419046969,1
33,539677826038,1
33,540349069906,1
33,544768785584,1
33,545602185334,1
34,520310825412,1
34,545566976422,1
34,547742157633,1
34,547794157516,1
35,533204346200,1
36,536125595091,1
37,35721723963,1
37,39375321605,1
37,527419046969,2
37,535612234886,1
37,535703074519,1
37,536125595091,1
37,537215013586,1
37,537252200486,1
37,549640657338,1
37,550597738824,1
37,550634023902,1
38,35721027449,1
38,35722000205,1
38,45105421124,1
38,521906910410,1
38,539677826038,1
38,545516801138,1
38,547742157633,1
38,549710009588,1
39,544115759872,3
39,544768785584,1
40,545538490326,2
41,528023284532,1
41,540407272609,1
42,35722000205,1
42,36286235128,5
42,37941111428,1
42,532994602666,1
42,536728628605,1
42,537396783238,1
42,541474263467,1
42,544115759872,1
42,545516801138,2
43,35877393642,1
43,36286235128,2
43,521019257989,1
43,531145857565,1
43,533204346200,1
43,537166359199,1
43,539677826038,1
43,549378588703,1
43,549661564014,1
43,550634023902,1
44,36286235128,4
45,35722000205,1
45,36266985550,1
45,36267739775,1
45,521906910410,1
45,522171062085,1
45,527419046969,1
45,547794157516,1
46,36266985550,1
46,36267739775,1
46,36353085367,1
46,527419046969,1
46,530910185416,1
46,539677826038,1
46,545516801138,1
46,545566976422,1
46,545974803385,1
46,546928423058,1
47,541659214822,1
48,527397362582,1
48,530812936284,1
48,531379484499,1
48,532940035080,1
48,533204346200,1
48,535612234886,1
48,537396783238,3
48,539410602755,1
48,540662291619,2
48,545939669017,1
48,546243180299,2
48,550659732532,1
48,551248890640,1
49,531145857565,1
49,531846025844,2
49,547812750733,1
50,35798985871,1
50,36266985550,1
50,36286235128,5
50,45171930915,1
50,521019257989,1
50,521926312352,3
50,522609190751,1
50,527419046969,2
50,528023284532,1
50,530910185416,1
50,532940035080,1
50,535612234886,1
50,536009750573,2
50,536083448292,3
50,537396783238,2
50,538658965256,1
50,539522491801,1
50,539677826038,3
50,541659214822,1
50,544066720474,2
50,544100858313,1
50,544768785584,7
50,546104970758,1
50,547382055156,2
50,547644315780,1
50,547794157516,1
50,548547222435,2
50,549536550945,1
50,549736062191,5
50,549765831606,2
51,36074765406,1
51,36514978453,1
51,37283032735,1
51,40400203213,2
51,44242610103,1
51,521926312352,1
51,522609190751,1
51,527419046969,2
51,527475911875,2
51,528109847799,2
51,529338111966,4
51,535612234886,1
51,541474263467,1
51,543719829706,1
51,545602185334,1
51,545940561990,1
51,546104970758,1
51,547644315780,1
51,548998614714,2
51,550634023902,1
51,550659732532,1
51,550680496523,1
51,550735773284,1
51,551248890640,1
52,527419046969,2
52,540407272609,1
53,532994602666,1
53,535612234886,1
54,548547222435,2
55,533204346200,2
55,540662291619,1
56,531846025844,1
57,545912368452,1
57,550735773284,1
58,548998614714,1
59,42577833473,2
59,527419046969,1
59,529100790989,1
